flow_id,scenario,algorithm,traffic_type,priority,source_zone,segment_id,segment_type,segment_zone,required_bandwidth_mbps,estimated_delay_ms,estimated_loss_percent,qos_satisfied
1,normal_load,baseline,web,3,academic_building,wifi_ap_1,wifi,academic_building,1.681,18.0,0.7,True
2,normal_load,baseline,lms,4,library,wifi_ap_2,wifi,library,1.118,22.0,0.9,True
3,normal_load,baseline,web,3,computer_lab,eth_lab,ethernet,computer_lab,1.19,4.0,0.05,True
4,normal_load,baseline,lms,4,academic_building,eth_academic,ethernet,academic_building,0.797,5.0,0.05,True
5,normal_load,baseline,lms,4,computer_lab,eth_lab,ethernet,computer_lab,0.763,4.0,0.05,True
6,normal_load,baseline,video,5,administration,eth_admin,ethernet,administration,4.403,5.0,0.05,True
7,normal_load,baseline,lms,4,dormitory,wifi_ap_4,wifi,dormitory,1.045,28.0,1.3,True
8,normal_load,baseline,file_download,2,academic_building,eth_academic,ethernet,academic_building,9.035,5.0,0.05,True
9,normal_load,baseline,video,5,dormitory,wifi_ap_4,wifi,dormitory,3.681,28.0,1.3,True
10,normal_load,baseline,video,5,student_area,wifi_ap_3,wifi,student_area,3.204,26.0,1.1,True
11,normal_load,baseline,lms,4,student_area,wifi_ap_3,wifi,student_area,1.174,26.0,1.1,True
12,normal_load,baseline,web,3,academic_building,wifi_ap_1,wifi,academic_building,1.672,18.0,0.7,True
13,normal_load,baseline,web,3,dormitory,wifi_ap_4,wifi,dormitory,1.184,28.0,1.3,True
14,normal_load,baseline,lms,4,administration,eth_admin,ethernet,administration,1.059,5.0,0.05,True
15,normal_load,baseline,file_download,2,computer_lab,eth_lab,ethernet,computer_lab,6.769,4.0,0.05,True
16,normal_load,baseline,video,5,administration,eth_admin,ethernet,administration,3.456,5.0,0.05,True
17,normal_load,baseline,lms,4,academic_building,wifi_ap_1,wifi,academic_building,1.178,18.0,0.7,True
18,normal_load,baseline,file_download,2,dormitory,wifi_ap_4,wifi,dormitory,7.112,28.0,1.3,True
19,normal_load,baseline,web,3,student_area,wifi_ap_3,wifi,student_area,1.247,26.0,1.1,True
20,normal_load,baseline,lms,4,administration,eth_admin,ethernet,administration,0.883,5.0,0.05,True
21,normal_load,baseline,background_update,1,administration,eth_admin,ethernet,administration,2.357,5.0,0.05,True
22,normal_load,baseline,web,3,computer_lab,eth_lab,ethernet,computer_lab,1.672,4.0,0.05,True
23,normal_load,baseline,video,5,dormitory,wifi_ap_4,wifi,dormitory,3.54,28.0,1.3,True
24,normal_load,baseline,background_update,1,administration,eth_admin,ethernet,administration,3.085,5.0,0.05,True
25,normal_load,baseline,web,3,academic_building,wifi_ap_1,wifi,academic_building,1.297,18.0,0.7,True
26,normal_load,baseline,voice,5,student_area,wifi_ap_3,wifi,student_area,0.19,26.0,1.1,False
27,normal_load,baseline,video,5,computer_lab,eth_lab,ethernet,computer_lab,4.753,4.0,0.05,True
28,normal_load,baseline,lms,4,administration,eth_admin,ethernet,administration,1.0,5.0,0.05,True
29,normal_load,baseline,file_download,2,administration,eth_admin,ethernet,administration,7.835,5.0,0.05,True
30,normal_load,baseline,lms,4,library,wifi_ap_2,wifi,library,1.122,22.0,0.9,True
31,normal_load,baseline,web,3,administration,eth_admin,ethernet,administration,1.563,5.0,0.05,True
32,normal_load,baseline,file_download,2,dormitory,wifi_ap_4,wifi,dormitory,7.448,28.0,1.3,True
33,normal_load,baseline,background_update,1,library,wifi_ap_2,wifi,library,3.014,22.0,0.9,True
34,normal_load,baseline,video,5,academic_building,wifi_ap_1,wifi,academic_building,4.722,18.0,0.7,True
35,normal_load,baseline,video,5,library,wifi_ap_2,wifi,library,4.584,22.0,0.9,True
36,normal_load,baseline,lms,4,academic_building,eth_academic,ethernet,academic_building,0.942,5.0,0.05,True
37,normal_load,baseline,web,3,dormitory,wifi_ap_4,wifi,dormitory,1.522,28.0,1.3,True
38,normal_load,baseline,background_update,1,academic_building,wifi_ap_1,wifi,academic_building,3.27,18.0,0.7,True
